iter	Passed	Remaining
244	218076	226977
245	218929	226048
246	219810	225150
247	220720	224280
248	221555	223335
249	222472	222472
250	223236	221457
251	224263	220703
252	225177	219837
253	226228	219102
254	227223	218313
255	228203	217506
256	229081	216602
257	229864	215609
258	230697	214664
259	231563	213750
260	232520	212921
261	233282	211912
262	234118	210973
263	235072	210140
264	236013	209294
265	236962	208456
266	237929	207631
267	238782	206706
268	239721	205857
269	240545	204909
270	241537	204103
271	242464	203242
272	243186	202209
273	244135	201367
274	244925	200393
275	245710	199416
276	246836	198717
277	247727	197825
278	248628	196942
279	249485	196024
280	250498	195228
281	251314	194278
282	252112	193315
283	252908	192352
284	253838	191491
285	254804	190657
286	255742	189801
287	257088	189245
288	258011	188374
289	258808	187413
290	259752	186557
291	260649	185668
292	261694	184882
293	262487	183919
294	263370	183020
295	264261	182126
296	265221	181279
297	266167	180422
298	267466	179801
299	268229	178819
300	269232	177997
301	269972	177002
302	270970	176175
303	271806	175243
304	272739	174374
305	273519	173407
306	274276	172427
307	275067	171470
308	276022	170615
309	276896	169710
310	277955	168918
311	278830	168013
312	279766	167144
313	280753	166306
314	281633	165404
315	282482	164483
316	283347	163573
317	284209	162660
318	285130	161782
319	286107	160935
320	287208	160156
321	288277	159358
322	289082	158413
323	289984	157522
324	290842	156607
325	291786	155738
326	292467	154730
327	293427	153870
328	294261	152944
329	295238	152092
330	295994	151126
331	297079	150329
332	298188	149541
333	299140	148674
334	300248	147883
335	301146	146988
336	301998	146070
337	302788	145123
338	303647	144210
339	304391	143242
340	305204	142309
341	306082	141406
342	307100	140567
343	308069	139705
344	309095	138868
345	310034	137992
346	311118	137178
347	311953	136255
348	312803	135339
349	313790	134481
350	314813	133638
351	315775	132769
352	316736	131898
353	317692	131025
354	318804	130215
355	319533	129249
356	320434	128353
357	321420	127490
358	322000	126468
359	322870	125560
360	323722	124646
361	324582	123735
362	325502	122848
363	326262	121900
364	327280	121049
365	328137	120137
366	329164	119288
367	330067	118393
368	331027	117519
369	331831	116589
370	332709	115685
371	333566	114775
372	334211	113793
373	335228	112937
374	336017	112005
375	337036	111150
376	338082	110302
377	338989	109409
378	340364	108665
379	341263	107767
380	342246	106895
381	343209	106017
382	344098	105116
383	344989	104215
384	345771	103282
385	346876	102445
386	347713	101528
387	348458	100585
388	349634	99767
389	350594	98885
390	352114	98159
391	353097	97282
392	354066	96399
393	354898	95480
394	355774	94572
395	356804	93706
396	357635	92787
397	358504	91878
398	359431	90983
399	360339	90084
400	361143	89160
401	362220	88302
402	363097	87395
403	364004	86496
404	364847	85581
405	365762	84683
406	366739	83800
407	367423	82850
408	368391	81964
409	369224	81049
410	370362	80200
411	371182	79281
412	372045	78372
413	372843	77450
414	373720	76545
415	374608	75642
416	375361	74712
417	376281	73815
418	377211	72921
419	378000	72000
420	378677	71058
421	379338	70114
422	380269	69221
423	381177	68324
424	381855	67386
425	382761	66489
426	383531	65568
427	384279	64645
428	385288	63765
429	386345	62893
430	387324	62007
431	388236	61111
432	389324	60241
433	390245	59346
434	391385	58482
435	392357	57593
436	393205	56686
437	394014	55773
438	394836	54863
439	395769	53968
440	396896	53099
441	397775	52196
442	398521	51277
443	399246	50355
444	400132	49454
445	401276	48585
446	402208	47689
447	403087	46786
448	404202	45911
449	405331	45036
450	406315	44145
451	407214	43243
452	407980	42329
453	408867	41427
454	409832	40532
455	410659	39625
456	411890	38755
457	412890	37863
458	413859	36967
459	414571	36049
460	415301	35133
461	416091	34224
462	416939	33319
463	417798	32415
464	418806	31523
465	419612	30615
466	420346	29703
467	421085	28792
468	422137	27902
469	423083	27005
470	424074	26110
471	424923	25207
472	425775	24304
473	426756	23408
474	427706	22510
475	428624	21611
476	429450	20707
477	430408	19809
478	431303	18908
479	432376	18015
480	433268	17114
481	434309	16219
482	435179	15316
483	436059	14415
484	436719	13506
485	437506	12603
486	438399	11702
487	439217	10800
488	440221	9902
489	440934	8998
490	441785	8097
491	442859	7200
492	443873	6302
493	444862	5403
494	445662	4501
495	446763	3602
496	447587	2701
497	448505	1801
498	449244	900
499	450194	0
