iter	RMSE
199	0.3619567771
200	0.3618297361
201	0.3616623401
202	0.3614487881
203	0.3612897766
204	0.3610230449
205	0.3608189284
206	0.3606695968
207	0.3605283158
208	0.3603478469
209	0.3601891896
210	0.3600643388
211	0.3599093695
212	0.3597713693
213	0.3595761868
214	0.359444459
215	0.359325661
216	0.3591196951
217	0.3589476408
218	0.3587266269
219	0.3585530731
220	0.3584421358
221	0.3582392691
222	0.3581178039
223	0.357950818
224	0.3577887554
225	0.3576745384
226	0.3575397605
227	0.3573481732
228	0.3572047945
229	0.3569814467
230	0.3567823994
231	0.3566952197
232	0.3565429869
233	0.3564071401
234	0.3561648925
235	0.3560371651
236	0.3558991647
237	0.355808492
238	0.3556999685
239	0.3555185271
240	0.3552807251
241	0.3551318502
242	0.354968558
243	0.3547760671
244	0.3545598302
245	0.3544676175
246	0.3542739695
247	0.3541812668
248	0.3539575189
249	0.3538322505
250	0.3535680638
251	0.3534642695
252	0.3533351757
253	0.3531782185
254	0.3529580448
255	0.3527748721
256	0.3525691587
257	0.3523651381
258	0.3521911637
259	0.3520481668
260	0.3518921471
261	0.3518157528
262	0.3516688129
263	0.3515704436
264	0.3514302023
265	0.3511815629
266	0.3510018082
267	0.3508132015
268	0.3506538281
269	0.3505744733
270	0.3503934817
271	0.3502587782
272	0.3501238777
273	0.3500298723
274	0.3499067544
275	0.3497433972
276	0.3496720225
277	0.349512899
278	0.3493360888
279	0.3492584044
280	0.349190711
281	0.3491243527
282	0.3490284736
283	0.3489492314
284	0.3487960504
285	0.3486859394
286	0.3485403956
287	0.3483881706
288	0.3482045142
289	0.348071895
290	0.3479277901
291	0.3478218501
292	0.347681305
293	0.347574596
294	0.3474504077
295	0.3473496783
296	0.347241482
297	0.3470777057
298	0.3469428898
299	0.3468255657
300	0.3467465274
301	0.3465912824
302	0.346338517
303	0.3461801184
304	0.3460595323
305	0.3459297582
306	0.3458096423
307	0.3457183154
308	0.3456062757
309	0.3455309603
310	0.3453515659
311	0.3451415899
312	0.345023177
313	0.3449401142
314	0.3448663117
315	0.344735297
316	0.3445595588
317	0.3444180795
318	0.3442955502
319	0.3441745588
320	0.3440438611
321	0.3439198229
322	0.343785201
323	0.3436937031
324	0.3435834214
325	0.3435445231
326	0.3434701197
327	0.3434241872
328	0.3433301403
329	0.3432020281
330	0.3430759682
331	0.3429819527
332	0.3428949457
333	0.3428152035
334	0.3426449933
335	0.3425083568
336	0.3423645176
337	0.3422620366
338	0.34214284
339	0.3419748244
340	0.34187188
341	0.3417365918
342	0.341674581
343	0.3415657411
344	0.3415032568
345	0.3413910624
346	0.3412337048
347	0.3411639398
348	0.3410772165
349	0.3409481594
350	0.3408258728
351	0.3406682208
352	0.3405613732
353	0.3404676647
354	0.3402593648
355	0.3401684757
356	0.3400826767
357	0.3399377503
358	0.3398763934
359	0.3397798453
360	0.339698605
361	0.3396326546
362	0.3395265174
363	0.3394480484
364	0.3393593938
365	0.3392601471
366	0.3391371746
367	0.3389311919
368	0.3388660904
369	0.3387666447
370	0.3386656413
371	0.3386098013
372	0.3384712899
373	0.3383969196
374	0.3382820988
375	0.3382205313
376	0.3381539041
377	0.338029787
378	0.337938544
379	0.3378447732
380	0.3377658283
381	0.337672336
382	0.3375969005
383	0.337486896
384	0.3374104856
385	0.3373314393
386	0.3372838774
387	0.3371240747
388	0.3370460971
389	0.3369981189
390	0.3368589045
391	0.3368115121
392	0.3366714432
393	0.3366046521
394	0.3365099433
395	0.3364442175
396	0.3363213616
397	0.3362437203
398	0.3361617797
399	0.3361215225
400	0.3360065382
401	0.3358927128
402	0.3358160563
403	0.3357178713
404	0.3355858966
405	0.3355121112
406	0.3353612923
407	0.3352495844
408	0.3351621402
409	0.3350250292
410	0.3349371497
411	0.3348832732
412	0.3347920033
413	0.334676834
414	0.3346135744
415	0.3345079024
416	0.3344241914
417	0.3343574998
418	0.3342733758
419	0.3341556896
420	0.3340730094
421	0.3340130984
422	0.3339178206
423	0.3338483208
424	0.3337475883
425	0.3336272859
426	0.33356518
427	0.3334605931
428	0.3333708596
429	0.333327097
430	0.3332759695
431	0.333200855
432	0.3331309491
433	0.3330222023
434	0.3329308551
435	0.3328289102
436	0.3327141202
437	0.3326266606
438	0.3325249925
439	0.3324374747
440	0.3323295201
441	0.3322719361
442	0.3321940284
443	0.3321036968
444	0.331987183
445	0.331828626
446	0.331753451
447	0.3316645308
448	0.3316372315
449	0.331576249
450	0.3314823139
451	0.3313984036
452	0.3313328555
453	0.3312750499
454	0.3311968758
455	0.3311174851
456	0.3310377354
457	0.3309635482
458	0.3308900316
459	0.3308495013
460	0.3307628189
461	0.3306584868
462	0.3305420063
463	0.3304869071
464	0.3303662104
465	0.3302947986
466	0.330216268
467	0.3301306158
468	0.3300550453
469	0.3299577822
470	0.3298877529
471	0.3298014191
472	0.3297382475
473	0.3296806623
474	0.329609854
475	0.3295598319
476	0.3294889305
477	0.3294220311
478	0.3293873066
479	0.3293448757
480	0.3292988435
481	0.3292261664
482	0.3291698952
483	0.3291146648
484	0.329044997
485	0.3289045284
486	0.3288684658
487	0.3287370954
488	0.3286562171
489	0.3285772056
490	0.3285399673
491	0.3284474425
492	0.3284063616
493	0.3282601498
494	0.3281419553
495	0.328056326
496	0.3279897333
497	0.3278815734
498	0.3278018608
499	0.3277580724
